episode,ep_rew,ep_len
1328,-8.0,8
1329,-8.0,8
1330,-9.0,9
1331,-8.0,8
1332,-10.0,10
1333,-8.0,8
1334,-11.0,11
1335,-10.0,10
1336,-9.0,9
1337,-8.0,8
1338,-10.0,10
1339,-8.0,8
1340,-8.0,8
1341,-8.0,8
1342,-9.0,9
1343,-10.0,10
1344,-9.0,9
1345,-9.0,9
1346,-9.0,9
1347,-11.0,11
1348,-11.0,11
1349,-14.0,14
1350,-10.0,10
1351,-8.0,8
1352,-8.0,8
1353,-8.0,8
1354,-16.0,16
1355,-8.0,8
1356,-9.0,9
1357,-8.0,8
1358,-8.0,8
1359,-12.0,12
1360,-8.0,8
1361,-11.0,11
1362,-13.0,13
1363,-12.0,12
1364,-9.0,9
1365,-9.0,9
1366,-8.0,8
1367,-9.0,9
1368,-10.0,10
1369,-10.0,10
1370,-8.0,8
1371,-9.0,9
1372,-9.0,9
1373,-8.0,8
1374,-8.0,8
1375,-10.0,10
1376,-9.0,9
1377,-10.0,10
1378,-11.0,11
1379,-10.0,10
1380,-9.0,9
1381,-12.0,12
1382,-11.0,11
1383,-9.0,9
1384,-10.0,10
1385,-10.0,10
1386,-8.0,8
1387,-9.0,9
1388,-8.0,8
1389,-8.0,8
1390,-8.0,8
1391,-8.0,8
1392,-8.0,8
1393,-8.0,8
1394,-8.0,8
1395,-8.0,8
1396,-8.0,8
1397,-10.0,10
1398,-13.0,13
1399,-8.0,8
1400,-8.0,8
1401,-10.0,10
1402,-11.0,11
1403,-12.0,12
1404,-11.0,11
1405,-8.0,8
1406,-10.0,10
1407,-9.0,9
1408,-8.0,8
1409,-11.0,11
1410,-15.0,15
1411,-12.0,12
1412,-8.0,8
1413,-9.0,9
1414,-9.0,9
1415,-8.0,8
1416,-9.0,9
1417,-8.0,8
1418,-8.0,8
1419,-8.0,8
1420,-8.0,8
1421,-8.0,8
1422,-10.0,10
1423,-11.0,11
1424,-9.0,9
1425,-9.0,9
1426,-8.0,8
1427,-8.0,8
1428,-9.0,9
1429,-8.0,8
1430,-8.0,8
1431,-9.0,9
1432,-8.0,8
1433,-8.0,8
1434,-8.0,8
1435,-9.0,9
1436,-9.0,9
1437,-8.0,8
1438,-10.0,10
1439,-11.0,11
1440,-8.0,8
1441,-10.0,10
1442,-14.0,14
1443,-9.0,9
1444,-8.0,8
1445,-8.0,8
1446,-8.0,8
1447,-12.0,12
1448,-12.0,12
1449,-10.0,10
1450,-9.0,9
1451,-10.0,10
1452,-8.0,8
1453,-8.0,8
1454,-8.0,8
1455,-10.0,10
1456,-8.0,8
1457,-8.0,8
1458,-13.0,13
1459,-9.0,9
1460,-8.0,8
1461,-13.0,13
1462,-10.0,10
1463,-8.0,8
1464,-9.0,9
1465,-8.0,8
1466,-12.0,12
1467,-8.0,8
1468,-8.0,8
1469,-8.0,8
1470,-10.0,10
1471,-8.0,8
1472,-9.0,9
1473,-8.0,8
1474,-8.0,8
1475,-10.0,10
1476,-9.0,9
1477,-8.0,8
1478,-8.0,8
1479,-9.0,9
1480,-8.0,8
1481,-8.0,8
1482,-10.0,10
1483,-8.0,8
1484,-10.0,10
1485,-8.0,8
1486,-8.0,8
1487,-8.0,8
1488,-9.0,9
1489,-9.0,9
1490,-8.0,8
1491,-8.0,8
1492,-8.0,8
1493,-9.0,9
1494,-9.0,9
