episode,ep_rew,ep_len
823,-13.0,20
824,-59.0,59
825,-28.0,44
826,-19.0,26
827,-15.0,19
828,-110.0,100
829,-110.0,100
830,-21.0,26
831,-15.0,17
832,-31.0,31
833,-9.0,8
834,-16.0,30
835,-110.0,100
836,-23.0,24
837,-19.0,18
838,-25.0,35
839,-61.0,49
840,-53.0,53
841,-46.0,46
842,-20.0,20
843,-110.0,100
844,-110.0,100
845,-110.0,100
846,-110.0,100
847,-22.0,24
848,-110.0,100
849,-10.0,10
850,-14.0,24
851,-19.0,34
852,-12.0,15
853,-13.0,22
854,-10.0,8
855,-110.0,100
856,-110.0,100
857,-110.0,100
858,-83.0,83
859,-14.0,40
860,-110.0,100
861,-110.0,100
862,-14.0,17
863,-110.0,100
864,-110.0,100
865,-9.0,12
866,-13.0,14
867,-18.0,23
868,-15.0,13
869,-131.0,100
870,-19.0,24
871,-12.0,9
872,-16.0,29
873,-12.0,8
874,-11.0,11
875,-13.0,16
876,-10.0,8
877,-110.0,100
878,-16.0,15
879,-24.0,40
880,-10.0,15
881,-110.0,100
882,-110.0,100
883,-110.0,100
884,-13.0,19
885,-110.0,100
886,-31.0,40
887,-85.0,85
888,-39.0,39
889,-14.0,15
890,-110.0,100
891,-11.0,13
892,-24.0,27
893,-79.0,79
894,-11.0,25
895,-44.0,44
896,-110.0,100
897,-78.0,78
898,-35.0,35
899,-110.0,100
900,-29.0,47
901,-19.0,24
902,-110.0,100
903,-33.0,33
904,-16.0,17
905,-10.0,48
906,-11.0,10
907,-110.0,100
908,-46.0,46
909,-110.0,100
910,-13.0,15
911,-15.0,19
912,-110.0,100
913,-110.0,100
914,-133.0,100
915,-14.0,17
916,-45.0,45
917,-16.0,18
918,-19.0,21
919,-87.0,87
920,-110.0,100
921,-26.0,28
922,-49.0,49
923,-16.0,15
924,-14.0,15
925,-55.0,55
926,-91.0,91
927,-12.0,12
928,-131.0,100
929,-22.0,35
930,-17.0,28
931,-10.0,10
932,-9.0,12
933,-99.0,99
934,-110.0,100
935,-16.0,18
936,-110.0,100
937,-18.0,29
938,-13.0,19
939,-12.0,12
940,-17.0,17
941,-47.0,47
942,-110.0,100
943,-11.0,7
944,-16.0,17
945,-9.0,8
946,-11.0,8
947,-15.0,25
948,-128.0,100
949,-110.0,100
950,-78.0,64
951,-12.0,17
952,-115.0,100
953,-16.0,19
954,-9.0,9
955,-77.0,77
956,-30.0,64
957,-25.0,48
958,-110.0,100
959,-11.0,24
960,-9.0,9
961,-110.0,100
962,-11.0,11
963,-12.0,14
964,-13.0,16
965,-14.0,18
966,-12.0,11
967,-110.0,100
968,-13.0,14
969,-110.0,100
970,-22.0,37
971,-110.0,100
972,-16.0,18
973,-15.0,13
974,-10.0,8
975,-110.0,100
976,-110.0,100
977,-83.0,70
978,-12.0,11
979,-15.0,14
980,-9.0,14
981,-22.0,52
982,-14.0,25
983,-13.0,9
984,-13.0,13
985,-11.0,16
986,-110.0,100
987,-110.0,100
988,-17.0,16
989,-13.0,37
990,-19.0,20
991,-110.0,100
992,-14.0,15
993,-36.0,36
994,-17.0,24
995,-70.0,70
996,-9.0,7
997,-13.0,12
998,-21.0,38
999,-19.0,41
1000,-110.0,100
1001,-12.0,14
1002,-60.0,60
1003,-15.0,12
1004,-15.0,14
1005,-96.0,82
1006,-110.0,100
1007,-17.0,29
1008,-32.0,52
1009,-13.0,20
1010,-72.0,72
1011,-95.0,95
1012,-12.0,10
1013,-14.0,16
1014,-11.0,11
1015,-110.0,100
1016,-19.0,46
1017,-12.0,11
1018,-11.0,14
1019,-110.0,100
1020,-14.0,12
1021,-14.0,16
1022,-110.0,100
1023,-110.0,100
1024,-93.0,93
1025,-110.0,100
1026,-110.0,100
1027,-17.0,23
1028,-12.0,9
1029,-44.0,44
1030,-12.0,26
1031,-13.0,23
1032,-123.0,100
1033,-16.0,36
1034,-9.0,9
1035,-110.0,100
1036,-23.0,38
1037,-10.0,13
1038,-47.0,47
1039,-38.0,38
1040,-74.0,74
1041,-15.0,16
1042,-110.0,100
1043,-16.0,21
1044,-19.0,23
1045,-57.0,57
1046,-31.0,31
1047,-43.0,43
1048,-14.0,17
1049,-110.0,100
1050,-110.0,100
1051,-20.0,20
1052,-86.0,77
1053,-12.0,14
1054,-12.0,13
1055,-110.0,100
1056,-13.0,11
1057,-37.0,82
1058,-14.0,18
1059,-12.0,17
1060,-12.0,18
1061,-16.0,18
1062,-14.0,14
1063,-10.0,15
1064,-110.0,100
1065,-14.0,14
1066,-110.0,100
1067,-17.0,17
1068,-129.0,100
1069,-27.0,27
1070,-19.0,23
1071,-110.0,100
1072,-13.0,13
1073,-18.0,22
1074,-24.0,26
1075,-17.0,17
1076,-129.0,100
1077,-17.0,16
1078,-19.0,21
1079,-20.0,39
1080,-18.0,41
1081,-11.0,9
1082,-20.0,18
1083,-110.0,100
1084,-110.0,100
1085,-18.0,20
1086,-10.0,10
1087,-110.0,100
1088,-14.0,13
1089,-86.0,86
1090,-10.0,9
1091,-110.0,100
1092,-16.0,29
1093,-17.0,16
1094,-110.0,100
1095,-11.0,10
1096,-17.0,15
1097,-110.0,100
1098,-11.0,11
1099,-110.0,100
1100,-86.0,86
1101,-78.0,78
1102,-11.0,14
1103,-110.0,100
1104,-19.0,18
1105,-12.0,15
1106,-17.0,21
1107,-110.0,100
1108,-14.0,18
1109,-13.0,18
1110,-9.0,13
1111,-110.0,100
1112,-23.0,32
1113,-77.0,77
1114,-10.0,14
1115,-21.0,20
1116,-17.0,19
